circuit_type,size,variant,solver,backend,status,run_id,wall_time,solve_time
and_tree,8,base,gecode,minizinc,SAT,1,0.16098308563232422,7.8038e-05
and_tree,8,base,gecode,minizinc,SAT,2,0.17873811721801758,9.6653e-05
and_tree,8,base,gecode,minizinc,SAT,3,0.17415165901184082,6.9361e-05
and_tree,8,base,chuffed,minizinc,SAT,1,0.16353321075439453,0.0
and_tree,8,base,chuffed,minizinc,SAT,2,0.15399718284606934,0.0
and_tree,8,base,chuffed,minizinc,SAT,3,0.1511681079864502,0.0
and_tree,8,base,z3,smt,SAT,1,0.012087821960449219,
and_tree,8,base,z3,smt,SAT,2,0.011384725570678711,
and_tree,8,base,z3,smt,SAT,3,0.012881278991699219,
and_tree,8,base,cvc5,smt,SAT,1,0.009154796600341797,
and_tree,8,base,cvc5,smt,SAT,2,0.0059664249420166016,
and_tree,8,base,cvc5,smt,SAT,3,0.007727622985839844,
and_tree,8,sbc,gecode,minizinc,SAT,1,0.15151691436767578,6.6555e-05
and_tree,8,sbc,gecode,minizinc,SAT,2,0.1499936580657959,6.7577e-05
and_tree,8,sbc,gecode,minizinc,SAT,3,0.15134739875793457,9.2715e-05
and_tree,8,sbc,chuffed,minizinc,SAT,1,0.15843462944030762,0.0
and_tree,8,sbc,chuffed,minizinc,SAT,2,0.18480634689331055,0.0
and_tree,8,sbc,chuffed,minizinc,SAT,3,0.15387940406799316,0.0
and_tree,8,sbc,z3,smt,SAT,1,0.014221668243408203,
and_tree,8,sbc,z3,smt,SAT,2,0.013583183288574219,
and_tree,8,sbc,z3,smt,SAT,3,0.014344215393066406,
and_tree,8,sbc,cvc5,smt,SAT,1,0.00774383544921875,
and_tree,8,sbc,cvc5,smt,SAT,2,0.006448030471801758,
and_tree,8,sbc,cvc5,smt,SAT,3,0.007648468017578125,
and_tree,8,sbc_half,gecode,minizinc,SAT,1,0.1612696647644043,5.9983e-05
and_tree,8,sbc_half,gecode,minizinc,SAT,2,0.16257810592651367,5.8501e-05
and_tree,8,sbc_half,gecode,minizinc,SAT,3,0.18040895462036133,0.000137148
