problem,size,variant,solver,backend,status,run_id,wall_time,solve_time,compilation_time,conflicts,propagations,decisions,nodes,failures,memory_mb
graphcoloring_kcolorable,10,base,gecode,minizinc,SAT,0,0.1626577377319336,9.9147e-05,0.0462719,,27,,3,0,
graphcoloring_kcolorable,10,base,gecode,minizinc,SAT,1,0.16313815116882324,0.000120898,0.0488773,,27,,3,0,
graphcoloring_kcolorable,10,base,gecode,minizinc,SAT,2,0.16437196731567383,0.000122852,0.0452327,,27,,3,0,
graphcoloring_kcolorable,10,base,chuffed,minizinc,SAT,0,0.18073248863220215,0.0,0.0593437,,47,,3,0,
graphcoloring_kcolorable,10,base,chuffed,minizinc,SAT,1,0.1654186248779297,0.0,0.0537088,,47,,3,0,
graphcoloring_kcolorable,10,base,chuffed,minizinc,SAT,2,0.16804289817810059,0.0,0.0561446,,47,,3,0,
graphcoloring_kcolorable,10,base,z3,smt,SAT,0,0.021331071853637695,0.02,,8,41,19,,,17.28
graphcoloring_kcolorable,10,base,z3,smt,SAT,1,0.018505096435546875,0.01,,8,41,19,,,17.28
graphcoloring_kcolorable,10,base,z3,smt,SAT,2,0.018676280975341797,0.01,,8,41,19,,,17.28
graphcoloring_kcolorable,10,base,cvc5,smt,SAT,0,0.008385419845581055,0.003,,,,,,,
graphcoloring_kcolorable,10,base,cvc5,smt,SAT,1,0.01120615005493164,0.005,,,,,,,
graphcoloring_kcolorable,10,base,cvc5,smt,SAT,2,0.01053309440612793,0.005,,,,,,,
graphcoloring_kcolorable,10,sbc,gecode,minizinc,SAT,0,0.15785765647888184,9.3266e-05,0.047162,,21,,2,0,
graphcoloring_kcolorable,10,sbc,gecode,minizinc,SAT,1,0.16303014755249023,0.000101913,0.0477293,,21,,2,0,
graphcoloring_kcolorable,10,sbc,gecode,minizinc,SAT,2,0.16636085510253906,9.9888e-05,0.0497015,,21,,2,0,
graphcoloring_kcolorable,10,sbc,chuffed,minizinc,SAT,0,0.16679000854492188,0.0,0.0533428,,72,,3,1,
graphcoloring_kcolorable,10,sbc,chuffed,minizinc,SAT,1,0.17342710494995117,0.0,0.0524669,,72,,3,1,
graphcoloring_kcolorable,10,sbc,chuffed,minizinc,SAT,2,0.15473318099975586,0.0,0.0516565,,72,,3,1,
graphcoloring_kcolorable,10,sbc,z3,smt,SAT,0,0.016823768615722656,0.01,,7,75,17,,,17.25
graphcoloring_kcolorable,10,sbc,z3,smt,SAT,1,0.013941764831542969,0.01,,7,75,17,,,17.25
graphcoloring_kcolorable,10,sbc,z3,smt,SAT,2,0.01847529411315918,0.01,,7,75,17,,,17.25
graphcoloring_kcolorable,10,sbc,cvc5,smt,SAT,0,0.009366750717163086,0.004,,,,,,,
graphcoloring_kcolorable,10,sbc,cvc5,smt,SAT,1,0.008959293365478516,0.004,,,,,,,
graphcoloring_kcolorable,10,sbc,cvc5,smt,SAT,2,0.009044170379638672,0.004,,,,,,,
graphcoloring_kcolorable,20,base,gecode,minizinc,SAT,0,0.15852570533752441,0.00012708,0.0504769,,111,,3,0,
graphcoloring_kcolorable,20,base,gecode,minizinc,SAT,1,0.16985559463500977,0.000104377,0.0501576,,111,,3,0,
graphcoloring_kcolorable,20,base,gecode,minizinc,SAT,2,0.18408417701721191,9.5099e-05,0.0599919,,111,,3,0,
graphcoloring_kcolorable,20,base,chuffed,minizinc,SAT,0,0.1655290126800537,0.0,0.058843,,169,,3,0,
graphcoloring_kcolorable,20,base,chuffed,minizinc,SAT,1,0.1653285026550293,0.0,0.0527372,,169,,3,0,
graphcoloring_kcolorable,20,base,chuffed,minizinc,SAT,2,0.16739130020141602,0.0,0.0522376,,169,,3,0,
graphcoloring_kcolorable,20,base,z3,smt,SAT,0,0.020474910736083984,0.02,,37,282,194,,,17.34
graphcoloring_kcolorable,20,base,z3,smt,SAT,1,0.02426600456237793,0.02,,37,282,194,,,17.34
graphcoloring_kcolorable,20,base,z3,smt,SAT,2,0.02024364471435547,0.02,,37,282,194,,,17.34
graphcoloring_kcolorable,20,base,cvc5,smt,SAT,0,0.01784515380859375,0.012,,,,,,,
graphcoloring_kcolorable,20,base,cvc5,smt,SAT,1,0.015617609024047852,0.01,,,,,,,
graphcoloring_kcolorable,20,base,cvc5,smt,SAT,2,0.01801586151123047,0.011,,,,,,,
graphcoloring_kcolorable,20,sbc,gecode,minizinc,SAT,0,0.16870474815368652,0.000138081,0.0478322,,101,,2,0,
graphcoloring_kcolorable,20,sbc,gecode,minizinc,SAT,1,0.16097545623779297,0.000144923,0.0477842,,101,,2,0,
graphcoloring_kcolorable,20,sbc,gecode,minizinc,SAT,2,0.16294097900390625,0.000114225,0.0471403,,101,,2,0,
graphcoloring_kcolorable,20,sbc,chuffed,minizinc,SAT,0,0.16486716270446777,0.0,0.0536737,,144,,2,0,
graphcoloring_kcolorable,20,sbc,chuffed,minizinc,SAT,1,0.1613631248474121,0.0,0.0512107,,144,,2,0,
graphcoloring_kcolorable,20,sbc,chuffed,minizinc,SAT,2,0.15658974647521973,0.0,0.0519792,,144,,2,0,
graphcoloring_kcolorable,20,sbc,z3,smt,SAT,0,0.019202709197998047,0.02,,18,216,89,,,17.34
graphcoloring_kcolorable,20,sbc,z3,smt,SAT,1,0.01721811294555664,0.01,,18,216,89,,,17.34
graphcoloring_kcolorable,20,sbc,z3,smt,SAT,2,0.022307395935058594,0.02,,18,216,89,,,17.34
graphcoloring_kcolorable,20,sbc,cvc5,smt,SAT,0,0.017237424850463867,0.012,,,,,,,
graphcoloring_kcolorable,20,sbc,cvc5,smt,SAT,1,0.015224933624267578,0.01,,,,,,,
graphcoloring_kcolorable,20,sbc,cvc5,smt,SAT,2,0.021983861923217773,0.016,,,,,,,
graphcoloring_kcolorable,30,base,gecode,minizinc,SAT,0,0.16646909713745117,0.000152247,0.050177,,238,,3,0,
graphcoloring_kcolorable,30,base,gecode,minizinc,SAT,1,0.1609501838684082,0.000144834,0.051679,,238,,3,0,
graphcoloring_kcolorable,30,base,gecode,minizinc,SAT,2,0.18264293670654297,0.000112282,0.0714165,,238,,3,0,
graphcoloring_kcolorable,30,base,chuffed,minizinc,SAT,0,0.16193246841430664,0.0,0.0575201,,342,,3,0,
graphcoloring_kcolorable,30,base,chuffed,minizinc,SAT,1,0.1741652488708496,0.001,0.0617934,,342,,3,0,
graphcoloring_kcolorable,30,base,chuffed,minizinc,SAT,2,0.17685699462890625,0.0,0.0620088,,342,,3,0,
graphcoloring_kcolorable,30,base,z3,smt,SAT,0,0.027200937271118164,0.02,,58,898,486,,,17.47
graphcoloring_kcolorable,30,base,z3,smt,SAT,1,0.03086400032043457,0.03,,58,898,486,,,17.47
graphcoloring_kcolorable,30,base,z3,smt,SAT,2,0.03303837776184082,0.03,,58,898,486,,,17.47
graphcoloring_kcolorable,30,base,cvc5,smt,SAT,0,0.029965639114379883,0.025,,,,,,,
graphcoloring_kcolorable,30,base,cvc5,smt,SAT,1,0.036870479583740234,0.032,,,,,,,
graphcoloring_kcolorable,30,base,cvc5,smt,SAT,2,0.02927112579345703,0.024,,,,,,,
graphcoloring_kcolorable,30,sbc,gecode,minizinc,SAT,0,0.1648850440979004,0.000119746,0.052464,,221,,2,0,
graphcoloring_kcolorable,30,sbc,gecode,minizinc,SAT,1,0.16568374633789062,0.000128282,0.052309,,221,,2,0,
graphcoloring_kcolorable,30,sbc,gecode,minizinc,SAT,2,0.16006207466125488,0.000136177,0.0449415,,221,,2,0,
graphcoloring_kcolorable,30,sbc,chuffed,minizinc,SAT,0,0.1563258171081543,0.0,0.0514666,,301,,2,0,
graphcoloring_kcolorable,30,sbc,chuffed,minizinc,SAT,1,0.16846513748168945,0.0,0.0488616,,301,,2,0,
graphcoloring_kcolorable,30,sbc,chuffed,minizinc,SAT,2,0.16473722457885742,0.0,0.051976,,301,,2,0,
graphcoloring_kcolorable,30,sbc,z3,smt,SAT,0,0.024868249893188477,0.02,,23,836,130,,,17.44
graphcoloring_kcolorable,30,sbc,z3,smt,SAT,1,0.020905494689941406,0.02,,23,836,130,,,17.44
graphcoloring_kcolorable,30,sbc,z3,smt,SAT,2,0.020645618438720703,0.02,,23,836,130,,,17.44
graphcoloring_kcolorable,30,sbc,cvc5,smt,SAT,0,0.023820877075195312,0.019,,,,,,,
graphcoloring_kcolorable,30,sbc,cvc5,smt,SAT,1,0.020928621292114258,0.017,,,,,,,
graphcoloring_kcolorable,30,sbc,cvc5,smt,SAT,2,0.020096302032470703,0.016,,,,,,,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,0,0.17087435722351074,0.000124014,0.0507275,,482,,4,0,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,1,0.1681685447692871,0.000127501,0.0501172,,482,,4,0,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,2,0.1623518466949463,0.000139744,0.0499474,,482,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,0,0.14652085304260254,0.0,0.0521936,,766,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,1,0.1707754135131836,0.001,0.0555577,,766,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,2,0.16019272804260254,0.0,0.0515405,,766,,4,0,
graphcoloring_kcolorable,40,base,z3,smt,SAT,0,0.05255413055419922,0.05,,99,7562,2163,,,17.75
