problem,size,formulation,solver,backend,status,solution_count,wall_time,solve_time,conflicts,propagations,decisions,nodes,failures,memory_mb,error_message
nqueens,10,enc1d,gecode,minizinc,SUCCESS,724,0.17888832092285156,0.0269332,,318147,,10145,4349,,
nqueens,10,enc2d,gecode,minizinc,SUCCESS,724,0.23308920860290527,0.0841982,,502367,,23923,11238,,
nqueens,10,enc1d,chuffed,minizinc,SUCCESS,724,0.2558255195617676,0.107,,189481,,6469,6309,,
nqueens,10,enc2d,chuffed,minizinc,SUCCESS,724,0.23662495613098145,0.086,,212145,,5537,5484,,
nqueens,11,enc1d,gecode,minizinc,SUCCESS,2680,0.27898192405700684,0.116675,,1383390,,43913,19277,,
nqueens,11,enc2d,gecode,minizinc,SUCCESS,2680,0.5279688835144043,0.357962,,2643436,,120531,57586,,
nqueens,11,enc1d,chuffed,minizinc,SUCCESS,2680,0.739727258682251,0.588,,605567,,20913,20526,,
nqueens,11,enc2d,chuffed,minizinc,SUCCESS,2680,0.7075197696685791,0.55,,768014,,20725,20542,,
nqueens,12,enc1d,gecode,minizinc,SUCCESS,14200,0.736243486404419,0.564606,,5937007,,206747,89174,,
nqueens,12,enc2d,gecode,minizinc,SUCCESS,14200,2.153397798538208,1.98455,,12893450,,559815,265708,,
nqueens,12,enc1d,chuffed,minizinc,SUCCESS,14200,7.012970924377441,6.847,,2392755,,86756,85775,,
nqueens,12,enc2d,chuffed,minizinc,SUCCESS,14200,5.252371072769165,5.092,,2990291,,85095,84399,,
nqueens,13,enc1d,gecode,minizinc,SUCCESS,73712,3.217008113861084,3.0462,,29769296,,1034791,443684,,
nqueens,13,enc2d,gecode,minizinc,SUCCESS,73712,11.854036092758179,11.6661,,64373248,,2694607,1273592,,
nqueens,13,enc1d,chuffed,minizinc,TIMEOUT,0,30.011480569839478,,,,,,,,Timeout after 30s
nqueens,13,enc2d,chuffed,minizinc,TIMEOUT,0,30.03155541419983,,,,,,,,Timeout after 30s
nqueens,14,enc1d,gecode,minizinc,SUCCESS,365596,18.334686040878296,18.066,,161864954,,5579891,2424350,,
nqueens,14,enc2d,gecode,minizinc,TIMEOUT,0,30.0315420627594,,,,,,,,Timeout after 30s
nqueens,14,enc1d,chuffed,minizinc,TIMEOUT,0,30.00762152671814,,,,,,,,Timeout after 30s
nqueens,14,enc2d,chuffed,minizinc,TIMEOUT,0,30.01614212989807,,,,,,,,Timeout after 30s
nqueens,15,enc1d,gecode,minizinc,TIMEOUT,0,30.01548433303833,,,,,,,,Timeout after 30s
nqueens,15,enc2d,gecode,minizinc,TIMEOUT,0,30.03321361541748,,,,,,,,Timeout after 30s
nqueens,15,enc1d,chuffed,minizinc,TIMEOUT,0,30.009921550750732,,,,,,,,Timeout after 30s
nqueens,15,enc2d,chuffed,minizinc,TIMEOUT,0,30.01572036743164,,,,,,,,Timeout after 30s
nqueens,4,enc1d,gecode,minizinc,SUCCESS,2,0.17268967628479004,0.000125012,,179,,15,6,,
nqueens,4,enc2d,gecode,minizinc,SUCCESS,2,0.16459012031555176,0.000134861,,139,,11,4,,
nqueens,4,enc1d,chuffed,minizinc,SUCCESS,2,0.17152690887451172,0.0,,185,,8,8,,
nqueens,4,enc2d,chuffed,minizinc,SUCCESS,2,0.17278027534484863,0.0,,291,,11,11,,
nqueens,5,enc1d,gecode,minizinc,SUCCESS,10,0.16806530952453613,0.000164305,,506,,27,4,,
nqueens,5,enc2d,gecode,minizinc,SUCCESS,10,0.1744844913482666,0.000360519,,490,,35,8,,
nqueens,5,enc1d,chuffed,minizinc,SUCCESS,10,0.1606593132019043,0.0,,581,,19,19,,
nqueens,5,enc2d,chuffed,minizinc,SUCCESS,10,0.15776991844177246,0.0,,653,,19,19,,
nqueens,6,enc1d,gecode,minizinc,SUCCESS,4,0.16744494438171387,0.000350982,,1858,,77,35,,
nqueens,6,enc2d,gecode,minizinc,SUCCESS,4,0.196364164352417,0.000416815,,1749,,103,48,,
nqueens,6,enc1d,chuffed,minizinc,SUCCESS,4,0.1987752914428711,0.001,,1628,,54,54,,
nqueens,6,enc2d,chuffed,minizinc,SUCCESS,4,0.21431541442871094,0.001,,1739,,45,45,,
nqueens,7,enc1d,gecode,minizinc,SUCCESS,40,0.22615981101989746,0.000714207,,6003,,223,72,,
nqueens,7,enc2d,gecode,minizinc,SUCCESS,40,0.16669535636901855,0.00224407,,6295,,363,142,,
nqueens,7,enc1d,chuffed,minizinc,SUCCESS,40,0.16959834098815918,0.003,,5420,,172,170,,
nqueens,7,enc2d,chuffed,minizinc,SUCCESS,40,0.157700777053833,0.002,,5939,,147,147,,
nqueens,8,enc1d,gecode,minizinc,SUCCESS,92,0.19587063789367676,0.00307782,,22035,,761,289,,
nqueens,8,enc2d,gecode,minizinc,SUCCESS,92,0.19356012344360352,0.00489441,,25081,,1311,564,,
nqueens,8,enc1d,chuffed,minizinc,SUCCESS,92,0.1793348789215088,0.007,,21521,,659,625,,
nqueens,8,enc2d,chuffed,minizinc,SUCCESS,92,0.16288137435913086,0.007,,18366,,458,452,,
nqueens,9,enc1d,gecode,minizinc,SUCCESS,352,0.16742634773254395,0.0099413,,81096,,2677,987,,
nqueens,9,enc2d,gecode,minizinc,SUCCESS,352,0.19690465927124023,0.0269199,,94036,,4621,1959,,
nqueens,9,enc1d,chuffed,minizinc,SUCCESS,352,0.20580697059631348,0.039,,63145,,2007,1914,,
nqueens,9,enc2d,chuffed,minizinc,SUCCESS,352,0.18172979354858398,0.033,,62972,,1559,1553,,
graphcoloring,10,vertex,gecode,minizinc,TIMEOUT,0,30.063631772994995,,,,,,,,Timeout after 30s
graphcoloring,10,matrix,gecode,minizinc,TIMEOUT,0,30.063669443130493,,,,,,,,Timeout after 30s
graphcoloring,10,vertex,chuffed,minizinc,TIMEOUT,0,30.063541412353516,,,,,,,,Timeout after 30s
graphcoloring,10,matrix,chuffed,minizinc,TIMEOUT,0,30.06362223625183,,,,,,,,Timeout after 30s
graphcoloring,2,vertex,gecode,minizinc,SUCCESS,0,0.17403769493103027,6.7656,,20,,3,2,,
graphcoloring,2,matrix,gecode,minizinc,SUCCESS,0,0.14357948303222656,6.5442,,110,,3,2,,
graphcoloring,2,vertex,chuffed,minizinc,SUCCESS,0,0.15761971473693848,0.0,,32,,2,2,,
graphcoloring,2,matrix,chuffed,minizinc,SUCCESS,0,0.15834498405456543,0.0,,126,,2,2,,
graphcoloring,3,vertex,gecode,minizinc,SUCCESS,120,0.152665376663208,0.000761098,,722,,239,0,,
graphcoloring,3,matrix,gecode,minizinc,SUCCESS,120,0.16001653671264648,0.00191499,,2356,,239,0,,
graphcoloring,3,vertex,chuffed,minizinc,SUCCESS,120,0.14654541015625,0.001,,1539,,121,121,,
graphcoloring,3,matrix,chuffed,minizinc,SUCCESS,120,0.1578993797302246,0.002,,2587,,120,120,,
graphcoloring,4,vertex,gecode,minizinc,SUCCESS,12960,0.34055566787719727,0.179263,,12138,,25919,0,,
graphcoloring,4,matrix,gecode,minizinc,SUCCESS,12960,0.5822949409484863,0.414086,,63437,,25919,0,,
graphcoloring,4,vertex,chuffed,minizinc,SUCCESS,12960,0.3603553771972656,0.189,,92207,,12962,12962,,
graphcoloring,4,matrix,chuffed,minizinc,SUCCESS,12960,0.5826370716094971,0.422,,153772,,12961,12961,,
graphcoloring,5,vertex,gecode,minizinc,SUCCESS,332880,4.918469429016113,4.71522,,79434,,665759,0,,
graphcoloring,5,matrix,gecode,minizinc,SUCCESS,332880,12.816111326217651,12.5464,,1057159,,665759,0,,
graphcoloring,5,vertex,chuffed,minizinc,SUCCESS,332880,5.331920862197876,5.071,,1942445,,332885,332881,,
graphcoloring,5,matrix,chuffed,minizinc,SUCCESS,332880,13.74105429649353,13.454,,3299994,,332880,332880,,
graphcoloring,6,vertex,gecode,minizinc,TIMEOUT,0,30.06360673904419,,,,,,,,Timeout after 30s
graphcoloring,6,matrix,gecode,minizinc,TIMEOUT,0,30.06367325782776,,,,,,,,Timeout after 30s
graphcoloring,6,vertex,chuffed,minizinc,TIMEOUT,0,30.06382465362549,,,,,,,,Timeout after 30s
graphcoloring,6,matrix,chuffed,minizinc,TIMEOUT,0,30.063579320907593,,,,,,,,Timeout after 30s
graphcoloring,7,vertex,gecode,minizinc,TIMEOUT,0,30.063730001449585,,,,,,,,Timeout after 30s
graphcoloring,7,matrix,gecode,minizinc,TIMEOUT,0,30.063615322113037,,,,,,,,Timeout after 30s
graphcoloring,7,vertex,chuffed,minizinc,TIMEOUT,0,30.063825607299805,,,,,,,,Timeout after 30s
graphcoloring,7,matrix,chuffed,minizinc,TIMEOUT,0,30.063642024993896,,,,,,,,Timeout after 30s
graphcoloring,8,vertex,gecode,minizinc,TIMEOUT,0,30.063695907592773,,,,,,,,Timeout after 30s
graphcoloring,8,matrix,gecode,minizinc,TIMEOUT,0,30.11515212059021,,,,,,,,Timeout after 30s
graphcoloring,8,vertex,chuffed,minizinc,TIMEOUT,0,30.06359577178955,,,,,,,,Timeout after 30s
graphcoloring,8,matrix,chuffed,minizinc,TIMEOUT,0,30.063603401184082,,,,,,,,Timeout after 30s
graphcoloring,9,vertex,gecode,minizinc,TIMEOUT,0,30.063703298568726,,,,,,,,Timeout after 30s
graphcoloring,9,matrix,gecode,minizinc,TIMEOUT,0,30.063584566116333,,,,,,,,Timeout after 30s
graphcoloring,9,vertex,chuffed,minizinc,TIMEOUT,0,30.063674688339233,,,,,,,,Timeout after 30s
graphcoloring,9,matrix,chuffed,minizinc,TIMEOUT,0,30.063695192337036,,,,,,,,Timeout after 30s
