family,regime,size_param,num_vars,cert_bytes,check_ns,check_pretty,num_constraints,status
clique,none,15,,390961911,,,,TOO-LARGE
clique,vp,15,195,10422,74850689,74.9ms,1663,OK
clique_coloring,none,4,,188553344,,,,TOO-LARGE
clique_coloring,vp,4,188,3688067,28049010999,28.05s,1325,OK
langford,none,10,,59341576,,,,TOO-LARGE
langford,var,10,,79314493,,,,TOO-LARGE
matching,none,19,,109257006,,,,TOO-LARGE
matching,var,19,,73794992,,,,TOO-LARGE
mutilated,none,12,260,3624,6139740,6.1ms,284,OK
mutilated,var,12,260,3625,5872920,5.9ms,285,OK
oddcycle,none,51,51,1791,6866148,6.9ms,102,OK
oddcycle,vp,51,51,860,2962449,3.0ms,103,OK
php,none,12,143,428,3384778,3.4ms,142,OK
php,vp,12,143,6876,61537258,61.5ms,153,OK
ramsey,none,10,45,934,4559369,4.6ms,240,OK
ramsey,vp,10,45,707,3620415,3.6ms,241,OK
schur,none,15,30,11712,80341800,80.3ms,183,OK
schur,vp,45,,101946721,,,,TOO-LARGE
vdw,none,28,56,494210,6056218824,6.06s,574,OK
vdw,vp,28,56,1237833,3400136815,3.40s,576,OK
