family,size_param,regime,sbc,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_det_time,rsat_conflicts,rsat_decisions,rsat_propagations,rsat_cpu_s,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,check_ns,check_status,pipeline_gross_s,pipeline_net_s,pipeline_status
clique,3,none,—,3,6,172,0.0028,UNSAT,28,2,1,5,0.000364,11,206,11,224,0.0027,224,176264,OK,2.415,0.246,OK
clique,3,vp,value_precedence,3,7,185,0.0030,UNSAT,4,0,0,3,0,10,167,10,181,0.0026,181,122321,OK,2.491,0.322,OK
clique,4,none,—,8,22,571,0.0027,UNSAT,313,7,7,33,0.000261,20,492,20,524,0.0023,524,500048,OK,2.502,0.333,OK
clique,4,vp,value_precedence,8,24,609,0.0030,UNSAT,11,0,0,8,0,18,347,18,372,0.0023,372,262547,OK,2.424,0.255,OK
clique,5,none,—,15,50,1370,0.0041,UNSAT,2223,32,43,194,0.001356,54,1717,54,1794,0.0030,1794,508022,OK,2.535,0.366,OK
clique,5,vp,value_precedence,15,53,1445,0.0029,UNSAT,25,0,0,15,0.000542,28,591,28,629,0.0028,629,238932,OK,2.533,0.364,OK
clique,6,none,—,24,93,2672,0.0039,UNSAT,13721,141,177,971,0,168,6669,168,6913,0.0025,6913,2217602,OK,2.526,0.357,OK
clique,6,vp,value_precedence,24,97,2803,0.0033,UNSAT,46,0,0,24,0,41,972,41,1027,0.0026,1027,512811,OK,2.427,0.258,OK
clique,7,none,—,35,154,4580,0.0113,UNSAT,126603,618,799,5731,0.007331,656,31444,656,32692,0.0039,32692,11429905,OK,2.524,0.355,OK
clique,7,vp,value_precedence,35,159,4781,0.0028,UNSAT,74,0,0,35,0.000988,57,1434,57,1510,0.0023,1510,695217,OK,2.531,0.362,OK
clique,8,none,—,48,236,7206,0.0338,UNSAT,793354,2250,2669,25275,0.021923,2378,137205,2378,141501,0.0082,141501,58473721,OK,2.521,0.352,OK
clique,8,vp,value_precedence,48,242,7491,0.0029,UNSAT,109,0,0,48,0.001389,76,1989,76,2090,0.0025,2090,1045621,OK,2.538,0.369,OK
clique,9,none,—,63,342,10660,0.0569,UNSAT,1264746,4157,5425,48290,0.041332,4251,225951,4251,233605,0.0095,233605,84091825,OK,2.624,0.455,OK
clique,9,vp,value_precedence,63,349,11043,0.0036,UNSAT,151,0,0,63,4e-05,98,2648,98,2778,0.0027,2778,1376568,OK,2.64,0.471,OK
clique,10,none,—,80,475,15053,0.1602,UNSAT,4745537,11580,14842,150797,0.141044,11877,658957,11877,681498,0.0228,681498,265330955,OK,2.831,0.662,OK
clique,10,vp,value_precedence,80,483,15548,0.0028,UNSAT,200,0,0,80,0.00058,123,3422,123,3585,0.0028,3585,2193125,OK,2.845,0.676,OK
clique,11,none,—,99,638,20495,0.6528,UNSAT,23476813,41057,50908,597207,0.534178,42919,2635189,42921,2712854,0.0939,2712854,1166845976,OK,3.928,1.76,OK
clique,11,vp,value_precedence,99,647,21116,0.0046,UNSAT,256,0,0,99,0.000921,151,4309,151,4509,0.0031,4509,2282273,OK,2.93,0.761,OK
clique,12,none,—,120,834,27598,2.1429,UNSAT,92944017,115997,141936,1801526,1.79169,116226,7526871,116228,7749745,0.2688,7749745,3422190201,OK,6.402,4.233,OK
clique,12,vp,value_precedence,120,844,28361,0.0047,UNSAT,319,0,0,120,0.003295,182,5413,182,5654,0.0034,5654,3220992,OK,2.9,0.731,OK
clique,13,none,—,143,1066,36112,10.8293,UNSAT,570099269,442103,525111,7565715,9.40801,447237,32329333,447239,33204778,1.1480,33204778,16131319881,OK,20.11,17.941,OK
clique,13,vp,value_precedence,143,1077,37051,0.0052,UNSAT,389,0,0,143,0.001641,216,7040,216,7326,0.0039,7326,4646973,OK,3.129,0.96,OK
clique,14,none,—,168,1337,46156,31.0903,UNSAT,1664824910,1165095,1389342,20180589,27.5497,1168679,82727484,1168681,85011198,3.0240,85011198,39357447918,OK,45.244,43.075,OK
clique,14,vp,value_precedence,168,1349,47287,0.0054,UNSAT,466,0,0,168,0.002334,253,8466,253,8801,0.0036,8801,5666504,OK,3.625,1.456,OK
clique,15,none,—,195,1650,57853,186.3047,UNSAT,10924804412,5098379,5977792,92209639,171.052,5134195,380908355,5134198,390961911,13.8665,390961911,182758829152,OK,199.499,197.33,OK
clique,15,vp,value_precedence,195,1663,59192,0.0062,UNSAT,550,0,0,195,0.003339,293,10034,293,10422,0.0056,10422,5025558,OK,4.12,1.951,OK
schur,5,none,—,5,12,371,0.0044,UNSAT,67,2,1,9,0,17,318,17,347,0.0028,347,271143,OK,2.457,0.22,OK
schur,5,vp,value_precedence,5,13,384,0.0026,UNSAT,10,0,0,5,0,14,258,14,277,0.0020,277,124777,OK,2.477,0.24,OK
schur,6,none,—,6,18,530,0.0032,UNSAT,71,2,1,9,0.000419,19,335,19,368,0.0022,368,287494,OK,2.503,0.266,OK
schur,6,vp,value_precedence,6,19,543,0.0028,UNSAT,10,0,0,5,0.000193,15,269,15,289,0.0022,289,112023,OK,2.534,0.297,OK
schur,7,none,—,7,24,689,0.0028,UNSAT,92,2,1,11,0,20,361,20,396,0.0019,396,242058,OK,2.646,0.409,OK
schur,7,vp,value_precedence,7,25,702,0.0043,UNSAT,10,0,0,5,0,16,280,16,301,0.0026,301,246217,OK,2.621,0.384,OK
