family,sbc,size_lo,size_hi,wall_none_geo,wall_sbc_geo,speedup_wall_geo,wall_none_hi,wall_sbc_hi,speedup_wall_hi,det_none_geo,det_sbc_geo,speedup_det_geo,det_none_hi,det_sbc_hi,speedup_det_hi,check_none_hi,check_sbc_hi,check_none_status,check_sbc_status,pipe_none_hi,pipe_sbc_hi,pipe_none_status,pipe_sbc_status,n_pairs,censored
clique,value_precedence,3,15,0.158,0.00372,42.3084751438,186.3047,0.0062,30049.1451613,1.105e+06,100,11043.2818859,10924804412,550,19863280.7491,182758829152,5025558,OK,OK,197.33,1.951,OK,OK,13,0
clique_coloring,value_precedence,2,4,0.204,0.0311,6.5735185251,63.7773,0.71,89.8271830986,2.31e+06,4.857e+04,47.5577924706,4375407878,14452690,302.740035108,131208884063,1345882891,OK,OK,144.517,8.14,OK,OK,3,0
langford,variable lex/reflection,2,10,0.125,0.109,1.14688592229,4.5554,3.2563,1.39894972822,6.432e+05,4.556e+05,1.41171362849,304827284,196437343,1.55177869617,19407999709,15669095180,OK,OK,21.276,17.266,OK,OK,5,0
matching,variable lex/reflection,5,19,0.163,0.161,1.01374627319,14.4784,8.4325,1.71697598577,2.472e+06,2.508e+06,0.985349725878,1862698389,1058540109,1.75968616887,33299837541,21522658419,OK,OK,74.45,62.026,OK,OK,8,0
mutilated,variable lex/reflection,4,12,0.0049,0.00524,0.936032264007,0.0064,0.0076,0.842105263158,106.5,107.7,0.988590740113,331,331,1,1195811,1619474,OK,OK,16.273,16.367,OK,OK,5,0
oddcycle,value_precedence,5,51,0.00294,0.00284,1.03631527777,0.0034,0.003,1.13333333333,214.6,24.95,8.60249414449,460,52,8.84615384615,809880,605682,OK,OK,5.295,5.411,OK,OK,24,0
php,value_precedence,2,12,0.00356,0.00312,1.13816326,0.0041,0.0037,1.10810810811,8.68,74.49,0.116534354246,24,389,0.0616966580977,352053,3826962,OK,OK,0.794,0.617,OK,OK,11,0
ramsey,value_precedence,6,10,0.00325,0.00339,0.958018876308,0.0037,0.0036,1.02777777778,1135,594,1.91021326005,1243,681,1.82525697504,1088432,1049897,OK,OK,4.286,4.295,OK,OK,5,0
schur,value_precedence,5,45,0.00427,0.00512,0.834209217731,,42.9134,,769.7,103.1,7.46315632947,,1004177586,,,47662852352,,OK,,67.726,,OK,5,1
vdw,value_precedence,9,28,0.0114,0.0131,0.869332176055,0.1207,0.1549,0.779212395094,2.008e+04,9595,2.09235160395,4259242,2960211,1.43883054282,303816552,275051495,OK,OK,2.346,2.466,OK,OK,5,0
