family,size_param,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,native_decide_time_s,module_build_time_s,cnf_clauses,sat_solver,sat_time_s,sat_status,drat_lines,drat_bytes,drat_trim_time_s,drat_trim_status
php,2,3,2,104,0.0037,UNSAT,7,157,7,168,0.0023,168,,,9,cadical,0.0023,UNSAT,7,29,0.0503,VERIFIED
php,3,8,7,256,0.0025,UNSAT,7,180,7,191,0.0026,191,,,22,cadical,0.0027,UNSAT,15,80,0.0439,VERIFIED
php,4,15,14,496,0.0030,UNSAT,7,210,7,221,0.0021,221,,,45,cadical,0.0026,UNSAT,59,552,0.0519,VERIFIED
php,5,24,23,813,0.0030,UNSAT,7,234,7,245,0.0025,245,,,81,cadical,0.0031,UNSAT,245,3490,0.0522,VERIFIED
php,6,35,34,1203,0.0031,UNSAT,7,258,7,269,0.0025,269,,,133,cadical,0.0070,UNSAT,2000,41456,0.0595,VERIFIED
php,7,48,47,1669,0.0032,UNSAT,7,282,7,293,0.0025,293,,,204,cadical,0.0373,UNSAT,15143,470751,0.0769,VERIFIED
php,8,63,62,2209,0.0032,UNSAT,7,306,7,317,0.0026,317,,,297,cadical,0.2747,UNSAT,97904,3922956,0.3193,VERIFIED
php,9,80,79,2823,0.0033,UNSAT,7,330,7,341,0.0024,341,,,415,cadical,2.2657,UNSAT,517775,27696739,2.9743,VERIFIED
php,10,99,98,3520,0.0041,UNSAT,7,355,7,366,0.0023,366,,,561,cadical,19.9284,UNSAT,4113241,216736778,27.8307,VERIFIED
php,11,120,119,4363,0.0038,UNSAT,7,392,7,403,0.0025,403,,,738,cadical,280.4275,UNSAT,27490336,2195399081,407.2950,VERIFIED
php,12,143,142,5289,0.0047,UNSAT,7,417,7,428,0.0026,428,,,949,cadical,,TIMEOUT,,,,
php,13,168,167,6297,0.0044,UNSAT,7,442,7,453,0.0024,453,,,,,,,,,,
php,14,195,194,7386,0.0043,UNSAT,7,467,7,478,0.0024,478,,,,,,,,,,
