family,size_param,pb_vars,pb_constraints,kernel_cert_chars,verified,encode_us,check_us,verify_wall_s,module_build_time_s
php,2,3,2,168,Y,1,114,0.0,
php,3,8,7,191,Y,0,65,0.0,
php,4,15,14,221,Y,0,66,0.1,
php,5,24,23,245,Y,0,64,0.1,
php,6,35,34,269,Y,0,64,0.0,
php,7,48,47,293,Y,0,66,0.0,
php,8,63,62,317,Y,1,113,0.0,
php,9,80,79,341,Y,0,84,0.1,
php,10,99,98,366,Y,0,73,0.1,
php,11,120,119,403,Y,1,112,0.1,
php,12,143,142,428,Y,1,116,0.1,
php,13,168,167,453,Y,2,172,0.1,
php,14,195,194,478,Y,1,132,0.1,
php,15,224,223,503,Y,0,68,0.1,
php,16,255,254,528,Y,0,68,0.1,
php,17,288,287,553,Y,1,116,0.2,
php,18,323,322,578,Y,1,117,0.2,
php,19,360,359,603,Y,1,116,0.2,
php,20,399,398,628,Y,1,114,0.3,8.5
mutilated,2,20,28,456,Y,1,119,0.1,
mutilated,3,56,68,937,Y,1,165,0.2,
mutilated,4,108,124,1624,Y,0,106,1.4,
mutilated,5,176,196,2525,Y,1,266,5.3,
mutilated,6,260,284,3624,Y,0,236,16.0,
mutilated,7,360,388,4925,Y,0,338,42.2,
mutilated,8,476,508,6484,Y,0,440,95.8,184.6
oddcycle,3,3,6,224,Y,1,101,0.1,
oddcycle,5,5,10,283,Y,0,61,0.1,
oddcycle,7,7,14,347,Y,1,137,0.0,
oddcycle,9,9,18,405,Y,0,66,0.1,
oddcycle,11,11,22,471,Y,0,67,0.1,
oddcycle,15,15,30,597,Y,0,69,0.1,
oddcycle,21,21,42,785,Y,0,72,0.1,
oddcycle,31,31,62,1103,Y,0,81,0.1,
oddcycle,51,51,102,1791,Y,0,94,0.3,
oddcycle,75,75,150,2619,Y,0,106,0.6,
oddcycle,101,101,202,3515,Y,0,138,1.3,27.8
