family,size_param,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,native_decide_time_s,module_build_time_s,cnf_clauses,sat_solver,sat_time_s,sat_status,drat_lines,drat_bytes,drat_trim_time_s,drat_trim_status
oddcycle,3,3,6,171,0.0026,UNSAT,11,206,11,224,0.0026,224,,,6,cadical,0.0024,UNSAT,4,15,0.0445,VERIFIED
oddcycle,5,5,10,252,0.0028,UNSAT,13,261,13,283,0.0025,283,,,10,cadical,0.0027,UNSAT,6,25,0.0426,VERIFIED
oddcycle,7,7,14,332,0.0026,UNSAT,15,321,15,347,0.0024,347,,,14,cadical,0.0026,UNSAT,8,33,0.0435,VERIFIED
oddcycle,9,9,18,412,0.0022,UNSAT,17,375,17,405,0.0024,405,,,18,cadical,0.0028,UNSAT,10,43,0.0447,VERIFIED
oddcycle,11,11,22,501,0.0028,UNSAT,19,437,19,471,0.0021,471,,,22,cadical,0.0027,UNSAT,12,53,0.0462,VERIFIED
oddcycle,15,15,30,677,0.0021,UNSAT,23,555,23,597,0.0021,597,,,30,cadical,0.0024,UNSAT,16,75,0.0450,VERIFIED
oddcycle,21,21,42,941,0.0030,UNSAT,29,731,29,785,0.0021,785,,,42,cadical,0.0025,UNSAT,22,109,0.0425,VERIFIED
oddcycle,31,31,62,1381,0.0030,UNSAT,39,1029,39,1103,0.0023,1103,,,62,cadical,0.0024,UNSAT,32,163,0.0509,VERIFIED
oddcycle,51,51,102,2262,0.0032,UNSAT,59,1677,59,1791,0.0024,1791,,,102,cadical,0.0028,UNSAT,52,273,0.0513,VERIFIED
oddcycle,75,75,150,3318,0.0034,UNSAT,83,2457,83,2619,0.0026,2619,,,150,cadical,0.0024,UNSAT,76,405,0.0518,VERIFIED
oddcycle,101,101,202,4471,0.0035,UNSAT,109,3301,109,3515,0.0026,3515,,,202,cadical,0.0027,UNSAT,102,551,0.0536,VERIFIED
oddcycle,151,151,302,6871,0.0036,UNSAT,159,4979,159,5293,0.0023,5293,,,302,cadical,0.0027,UNSAT,152,875,0.0521,VERIFIED
oddcycle,201,201,402,9271,0.0030,UNSAT,209,6653,209,7067,0.0024,7067,,,402,cadical,0.0029,UNSAT,202,1201,0.0517,VERIFIED
oddcycle,301,301,602,14071,0.0049,UNSAT,309,10003,309,10617,0.0031,10617,,,602,cadical,0.0030,UNSAT,302,1851,0.0517,VERIFIED
oddcycle,501,501,1002,23672,0.0067,UNSAT,509,17211,509,18225,0.0032,18225,,,1002,cadical,0.0031,UNSAT,502,3151,0.0512,VERIFIED
oddcycle,751,751,1502,35672,0.0086,UNSAT,759,26339,759,27853,0.0036,27853,,,1502,cadical,0.0030,UNSAT,752,4775,0.0545,VERIFIED
oddcycle,1001,1001,2002,47681,0.0094,UNSAT,1009,35463,1009,37477,0.0054,37477,,,2002,cadical,0.0035,UNSAT,1002,6403,0.0545,VERIFIED
