family,size,det_none,det_x0,det_vp,det_var,speedup_x0,speedup_vp,speedup_var
clique,10,4745537,,200,,,23727.7,
clique,11,23476813,,256,,,91706.3,
clique,12,92944017,,319,,,291360.6,
clique,13,570099269,,389,,,1465550.8,
clique,14,1664824910,,466,,,3572585.6,
clique,15,10924804412,,550,,,19863280.7,
clique,3,28,,4,,,7.0,
clique,4,313,,11,,,28.5,
clique,5,2223,,25,,,88.9,
clique,6,13721,,46,,,298.3,
clique,7,126603,,74,,,1710.9,
clique,8,793354,,109,,,7278.5,
clique,9,1264746,,151,,,8375.8,
clique_coloring,2,2976,,388,,,7.7,
clique_coloring,3,946651,,20436,,,46.3,
clique_coloring,4,4375407878,,14452690,,,302.7,
langford,10,304827284,,,391676278,,,0.8
langford,2,24,,,10,,,2.4
langford,5,120165,,,50637,,,2.4
langford,6,544792,,,259730,,,2.1
langford,9,229842968,,,55631597,,,4.1
matching,11,4586164,,,5484749,,,0.8
matching,13,16067428,,,6812827,,,2.4
matching,15,33233378,,,69339623,,,0.5
matching,17,140907188,,,474929941,,,0.3
matching,19,1862698389,,,1058540109,,,1.8
matching,5,871,,,638,,,1.4
matching,7,8837,,,7993,,,1.1
matching,9,281509,,,235942,,,1.2
mutilated,10,185,,,185,,,1.0
mutilated,12,331,,,331,,,1.0
mutilated,4,26,,,29,,,0.9
mutilated,6,99,,,94,,,1.1
mutilated,8,87,,,87,,,1.0
oddcycle,11,100,,12,,,8.3,
oddcycle,13,118,,14,,,8.4,
oddcycle,15,136,,16,,,8.5,
oddcycle,17,154,,18,,,8.6,
oddcycle,19,172,,20,,,8.6,
oddcycle,21,190,,22,,,8.6,
oddcycle,23,208,,24,,,8.7,
oddcycle,25,226,,26,,,8.7,
oddcycle,27,244,,28,,,8.7,
oddcycle,29,262,,30,,,8.7,
oddcycle,31,280,,32,,,8.8,
oddcycle,33,298,,34,,,8.8,
oddcycle,35,316,,36,,,8.8,
oddcycle,37,334,,38,,,8.8,
oddcycle,39,352,,40,,,8.8,
oddcycle,41,370,,42,,,8.8,
oddcycle,43,388,,44,,,8.8,
oddcycle,45,406,,46,,,8.8,
oddcycle,47,424,,48,,,8.8,
oddcycle,49,442,,50,,,8.8,
oddcycle,5,46,,6,,,7.7,
oddcycle,51,460,,52,,,8.8,
oddcycle,7,64,,8,,,8.0,
oddcycle,9,82,,10,,,8.2,
php,10,20,,256,,,0.1,
php,11,22,,319,,,0.1,
php,12,24,,389,,,0.1,
php,2,2,,4,,,0.5,
php,3,3,,11,,,0.3,
php,4,4,,25,,,0.2,
php,5,5,,46,,,0.1,
php,6,6,,74,,,0.1,
php,7,7,,109,,,0.1,
php,8,22,,151,,,0.1,
php,9,18,,200,,,0.1,
ramsey,10,1243,,681,,,1.8,
ramsey,6,1027,,513,,,2.0,
ramsey,7,1092,,555,,,2.0,
ramsey,8,1135,,597,,,1.9,
ramsey,9,1189,,639,,,1.9,
schur,14,23934,,3389,,,7.1,
schur,15,25792,,3443,,,7.5,
schur,45,,,1004177586,,,,
schur,5,67,,10,,,6.7,
schur,6,71,,10,,,7.1,
schur,7,92,,10,,,9.2,
vdw,10,673,,274,,,2.5,
vdw,11,628,,333,,,1.9,
vdw,27,3097187,,1229061,,,2.5,
vdw,28,4259242,,2960211,,,1.4,
vdw,9,585,,245,,,2.4,
