family,size_param,pb_vars,pb_constraints,kernel_cert_chars,verified,encode_us,check_us,verify_wall_s,module_build_time_s
php,2,3,2,168,Y,2,157,1.6,
php,3,8,7,191,Y,2,163,1.2,
php,4,15,14,221,Y,1,148,1.5,
php,5,24,23,245,Y,2,261,1.6,
php,6,35,34,269,Y,1,101,1.6,
php,7,48,47,293,Y,1,155,1.4,
php,8,63,62,317,Y,1,108,0.0,
php,9,80,79,341,Y,1,140,0.0,
php,10,99,98,366,Y,0,90,0.0,
php,11,120,119,403,Y,1,118,1.0,
php,12,143,142,428,Y,1,158,1.3,
php,13,168,167,453,Y,1,129,1.1,
php,14,195,194,478,Y,1,130,1.1,
php,15,224,223,503,Y,2,171,1.7,
php,16,255,254,528,Y,1,118,1.6,
php,17,288,287,553,Y,1,105,0.5,
php,18,323,322,578,Y,1,134,0.7,
php,19,360,359,603,Y,0,74,0.0,
php,20,399,398,628,Y,0,64,0.0,21.6
mutilated,2,20,28,456,Y,1,150,0.1,
mutilated,3,56,68,937,Y,1,177,0.0,
mutilated,4,108,124,1624,Y,1,176,1.8,
mutilated,5,176,196,2525,Y,0,356,7.8,
mutilated,6,260,284,3624,Y,2,535,20.9,
mutilated,7,360,388,4925,Y,1,457,46.6,
mutilated,8,476,508,6484,Y,0,449,96.8,219.0
oddcycle,3,3,6,224,Y,0,60,0.1,
oddcycle,5,5,10,283,Y,0,59,0.0,
oddcycle,7,7,14,347,Y,0,61,0.0,
oddcycle,9,9,18,405,Y,1,92,0.0,
oddcycle,11,11,22,471,Y,1,79,0.1,
oddcycle,15,15,30,597,Y,0,65,0.0,
oddcycle,21,21,42,785,Y,0,85,0.1,
oddcycle,31,31,62,1103,Y,0,85,0.1,
oddcycle,51,51,102,1791,Y,0,92,0.3,
oddcycle,75,75,150,2619,Y,0,177,0.7,
oddcycle,101,101,202,3515,Y,2,274,2.1,48.2
