family,size_param,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,native_decide_time_s,module_build_time_s,cnf_clauses,sat_solver,sat_time_s,sat_status,drat_lines,drat_bytes,drat_trim_time_s,drat_trim_status
oddcycle,3,3,6,171,0.0372,UNSAT,28,489,11,224,0.0040,224,,,6,cadical,0.0040,UNSAT,4,16,0.0270,VERIFIED
oddcycle,5,5,10,252,0.0358,UNSAT,38,686,13,283,0.0037,283,,,10,cadical,0.0033,UNSAT,6,24,0.0274,VERIFIED
oddcycle,7,7,14,332,0.0363,UNSAT,48,890,15,347,0.0040,347,,,14,cadical,0.0040,UNSAT,8,34,0.0272,VERIFIED
oddcycle,9,9,18,412,0.0364,UNSAT,58,1088,17,405,0.0034,405,,,18,cadical,0.0033,UNSAT,10,42,0.0264,VERIFIED
oddcycle,11,11,22,501,0.0344,UNSAT,68,1303,19,471,0.0036,471,,,22,cadical,0.0032,UNSAT,12,54,0.0265,VERIFIED
oddcycle,15,15,30,677,0.0363,UNSAT,88,1725,23,597,0.0041,597,,,30,cadical,0.0033,UNSAT,16,76,0.0266,VERIFIED
oddcycle,21,21,42,941,0.0361,UNSAT,118,2358,29,785,0.0031,785,,,42,cadical,0.0034,UNSAT,22,108,0.0263,VERIFIED
oddcycle,31,31,62,1381,0.0364,UNSAT,168,3416,39,1103,0.0034,1103,,,62,cadical,0.0032,UNSAT,32,164,0.0273,VERIFIED
oddcycle,51,51,102,2262,0.0372,UNSAT,268,5590,59,1791,0.0039,1791,,,102,cadical,0.0039,UNSAT,52,274,0.0266,VERIFIED
oddcycle,75,75,150,3318,0.0379,UNSAT,388,8242,83,2619,0.0037,2619,,,150,cadical,0.0035,UNSAT,76,406,0.0272,VERIFIED
oddcycle,101,101,202,4471,0.0406,UNSAT,518,11122,109,3515,0.0036,3515,,,202,cadical,0.0036,UNSAT,102,550,0.0271,VERIFIED
oddcycle,151,151,302,6871,0.0409,UNSAT,768,16901,159,5293,0.0042,5293,,,302,cadical,0.0038,UNSAT,152,876,0.0284,VERIFIED
oddcycle,201,201,402,9271,0.0423,UNSAT,1018,22676,209,7067,0.0038,7067,,,402,cadical,0.0038,UNSAT,202,1200,0.0289,VERIFIED
oddcycle,301,301,602,14071,0.0465,UNSAT,1518,34226,309,10617,0.0038,10617,,,602,cadical,0.0040,UNSAT,302,1850,0.0283,VERIFIED
oddcycle,501,501,1002,23672,0.0519,UNSAT,2518,57840,509,18225,0.0047,18225,,,1002,cadical,0.0036,UNSAT,502,3150,0.0275,VERIFIED
oddcycle,751,751,1502,35672,0.0614,UNSAT,3768,87968,759,27853,0.0049,27853,,,1502,cadical,0.0040,UNSAT,752,4776,0.0271,VERIFIED
oddcycle,1001,1001,2002,47681,0.0705,UNSAT,5018,118100,1009,37477,0.0061,37477,,,2002,cadical,0.0039,UNSAT,1002,6402,0.0284,VERIFIED
