family,size_param,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,native_decide_time_s,module_build_time_s,cnf_clauses,sat_solver,sat_time_s,sat_status,drat_lines,drat_bytes,drat_trim_time_s,drat_trim_status
php,2,3,2,104,0.0354,UNSAT,18,375,7,168,0.0039,168,,,9,cadical,0.0031,UNSAT,7,29,0.0286,VERIFIED
php,3,8,7,256,0.0356,UNSAT,38,832,7,191,0.0045,191,,,22,cadical,0.0033,UNSAT,112,1323,0.0298,VERIFIED
php,4,15,14,496,0.0358,UNSAT,66,1531,7,221,0.0072,221,,,45,cadical,0.0041,UNSAT,160,1884,0.0304,VERIFIED
php,5,24,23,813,0.0437,UNSAT,102,2441,7,245,0.0055,245,,,81,cadical,0.0043,UNSAT,295,3874,0.0278,VERIFIED
php,6,35,34,1203,0.0377,UNSAT,146,3553,7,269,0.0041,269,,,133,cadical,0.0049,UNSAT,641,10090,0.0324,VERIFIED
php,7,48,47,1669,0.0378,UNSAT,198,4873,7,293,0.0040,293,,,204,cadical,0.0081,UNSAT,2259,44007,0.0304,VERIFIED
php,8,63,62,2209,0.0390,UNSAT,258,6397,7,317,0.0041,317,,,297,cadical,0.0140,UNSAT,3778,87080,0.0329,VERIFIED
php,9,80,79,2823,0.0416,UNSAT,326,8125,7,341,0.0043,341,,,415,cadical,0.0236,UNSAT,5349,165187,0.0467,VERIFIED
php,10,99,98,3520,0.0394,UNSAT,402,10078,7,366,0.0042,366,,,561,cadical,0.0659,UNSAT,17473,650925,0.0710,VERIFIED
php,11,120,119,4363,0.0387,UNSAT,486,12425,7,403,0.0045,403,,,738,cadical,0.2002,UNSAT,55680,2401745,0.1972,VERIFIED
php,12,143,142,5289,0.0414,UNSAT,578,14992,7,428,0.0045,428,,,949,cadical,0.5948,UNSAT,114552,5671578,0.5719,VERIFIED
php,13,168,167,6297,0.0794,UNSAT,678,17783,7,453,0.0046,453,,,1197,cadical,,TIMEOUT,,,,
php,14,195,194,7386,0.0456,UNSAT,786,20796,7,478,0.0047,478,,,,,,,,,,
php,15,224,223,8559,0.0461,UNSAT,902,24037,7,503,0.0049,503,,,,,,,,,,
php,16,255,254,9812,0.0430,UNSAT,1026,27498,7,528,0.0042,528,,,,,,,,,,
php,17,288,287,11149,0.0448,UNSAT,1158,31187,7,553,0.0042,553,,,,,,,,,,
php,18,323,322,12566,0.0454,UNSAT,1298,35096,7,578,0.0054,578,,,,,,,,,,
php,19,360,359,14067,0.0480,UNSAT,1446,39233,7,603,0.0060,603,,,,,,,,,,
php,20,399,398,15650,0.0466,UNSAT,1602,43594,7,628,0.0044,628,,,,,,,,,,
